col_0,col_1,col_2,col_3,col_4
fuw,2213,hbrv,627,1671
max,205,nfol,2083,192
ikd,1880,emwd,2215,226
acf,51,hefy,1083,1880
dku,1964,xevc,47,2456
mzw,805,mqze,2769,340
mug,562,lzvo,214,1254
xwc,1013,iwct,1337,2426
rxp,811,gccs,2490,3208
tmy,1597,kdpp,2329,4354
syc,2006,glhn,1398,2901
giq,563,ekfc,658,2920
sus,728,qhjq,1800,856
mrr,1574,khcp,443,848
ppv,867,mkou,1310,2474
rsc,615,vjxe,67,3801
upg,1965,vdxp,3024,4877
hhf,1123,cdhg,434,3246
tll,1186,exuc,469,1652
tsw,2256,nrmc,3118,3614
hff,1284,chex,794,86
oef,2119,lhkp,3212,1168
mpf,1463,qpys,1574,2213
gms,2138,mgri,2408,2604
eki,823,ylxb,3068,2488
qwr,2395,jsdv,3175,2516
iid,2217,rflg,10,3541
xbd,1512,jllc,1847,2845
cmu,952,zaip,2048,362
yks,1899,fljo,1998,83
ayx,302,dpnd,2356,333
pwp,848,purw,1493,3411
exu,2333,axra,769,1457
ubm,1468,tkxk,1126,1249
zsn,1401,pupu,1525,1579
bnv,112,uzkt,1303,4527
bqm,485,hoig,3021,2621
msl,293,gxxm,824,137
efd,1660,cyze,205,3404
rtd,1445,dpur,1676,124
see,974,zdrc,1175,1285
hvu,2256,rmkq,1512,2018
prm,502,idnk,1047,1185
jbl,208,mxzg,1671,986
mlh,2098,lrhw,2415,4094
cgm,1277,gdgj,2329,4903
had,1128,bmno,1593,4470
uve,2289,sgmn,3014,3179
nkt,272,pher,2440,3128
giv,1105,xehn,3009,3458
fzc,103,frnq,104,2839
pna,1455,dsxp,3308,3212
ken,136,jszq,1658,3882
mhs,28,wijw,1808,4013
mwm,240,fxjs,979,4108
lru,475,scnt,2559,1453
gmx,46,trmq,1371,3804
fcu,1317,wtjx,2472,3306
hff,1254,njgu,3093,4861
ggn,378,nosd,1691,4887
lle,1729,tlqq,1691,3364
abl,2497,msof,2379,4975
igw,595,kgsx,2588,577
zfa,829,luuh,3304,1675
meu,1060,cstl,543,886
ahj,246,raxr,2841,618
kfh,63,ziyr,942,1285
fxd,2265,vxhw,2528,4653
gxc,1742,pulm,2949,3636
xjy,752,phot,3323,2412
nld,669,vloc,667,1571
drn,1795,eqyw,2223,2684
rws,447,cxue,198,1601
zzf,229,tpsq,3315,1521
chy,169,eqzg,1654,674
wvf,650,baek,2528,1068
ulj,1812,xipv,606,3590
kvp,741,vgkj,791,4679
fvp,59,ecjq,1363,2853
htu,163,uwnu,2061,4241
dif,1702,xnpw,1195,474
iwp,1765,xour,2,4047
ttt,2265,pxiu,285,2293
vno,595,qike,942,2060
eof,1285,hzet,51,3966
cva,2183,wjbd,653,2183
oic,1875,zlti,3150,1213
ttn,2233,zcab,3000,1124
cql,823,jgxk,140,2424
flx,881,ilex,1195,3576
dic,377,ddzl,1266,242
lrt,1020,iqjo,1591,2389
hcm,755,ldgi,2847,1487
ifc,2308,dvcs,270,811
xwx,2025,vvxr,1286,419
uwp,1016,dqyq,2613,174
awn,2236,wpxu,1936,734
nwj,2440,tksu,1767,4730
etd,1796,dltx,247,1059
vss,396,pgux,1321,2947
qbj,1442,dglh,476,1134
rhk,1869,aevk,1918,2651
ztn,1934,ljdk,2294,2866
azh,1011,aozv,2839,1750
qod,2111,zacr,134,954
afw,1336,gddu,1753,2784
ywl,422,fbjq,824,4740
boi,1567,oipg,1996,689
flq,15,qfnl,97,2924
sxy,1194,ston,2922,2366
gve,2017,mpjd,1819,4924
ldd,1452,lbfg,3224,1467
zpy,78,prbc,953,2897
wsn,7,skpk,386,4778
wtd,2364,vutc,2446,4399
qfn,1431,kgnn,513,1238
zfq,854,abiy,641,2669
ucd,116,bwmb,300,2706
pkf,293,drsv,425,350
bxi,344,csnu,1732,1213
eby,1,ziee,583,133
jti,1052,cfim,1806,2880
nwc,2400,sppk,342,2193
cdn,1256,gflz,3153,4083
idw,1579,nkgn,1594,3555
cco,1583,mgzk,579,1912
pss,545,lvob,214,2145
kjh,1416,apih,82,1494
cor,448,qubq,1988,1527
kti,2078,gjcy,2056,4271
mcj,2041,nonk,872,4595
ebe,1145,fpks,1561,3919
ged,2058,capw,2794,2243
yoz,1238,gbxr,2552,2617
gza,1723,ngyu,2741,38
qmw,262,ardy,1291,1113
hob,1272,braw,2864,2029
bab,1225,xyjk,2268,467
rxq,1954,wexo,249,2387
vgh,458,svig,391,592
syd,2372,vkrl,350,226
gxu,157,ycvr,1631,4983
cru,1311,vkav,1272,4259
ofb,1438,avwm,2381,762
srp,2284,gzid,3009,4001
aml,1008,bdxk,2193,4575
axv,714,cllf,2035,951
rrv,1017,hykm,901,758
eha,2095,tetw,2436,587
ipk,744,eazf,806,2508
ywx,464,dboz,3053,4475
sxh,2178,gknp,1119,2535
dju,211,kuaz,2559,3539
xjq,2107,dzzw,100,468
ust,1093,plrv,722,2349
vbp,752,kfyi,1770,4626
qkr,22,fmio,19,2840
lfb,2183,wxtt,2662,1512
cgv,2373,laky,732,2975
ahz,684,atfx,2246,3820
thg,1633,bckq,2182,1827
lpj,2458,drge,2674,319
wnw,348,oike,1624,1913
tzm,1314,dyca,109,4101
fkl,2041,vcdk,1895,1640
xdy,741,ehjx,890,1625
quh,2122,ahtu,1476,2353
lma,468,jpzh,2003,4764
prf,2350,meum,2186,1669
teq,817,nvsz,3262,1174
jxz,2287,dkrr,1951,4128
afj,593,axze,1714,2388
tdx,2130,uryd,470,2355
alm,2288,ihlt,2564,2244
hrm,1145,ezrs,1962,80
koy,1616,eqth,134,4389
mnp,464,kihl,1373,1388
qep,465,cpwj,3302,86
war,1809,ioqh,878,2348
rox,2119,hcfw,572,3044
axd,366,qtru,1836,3745
mey,146,cyva,1094,2053
uxl,1431,vytj,138,2881
kih,1919,lfag,1208,1466
iia,1554,rhml,2571,2518
pgu,1251,tfkv,461,521
ifo,131,sbeb,1796,2050
rtd,33,uopb,2777,4734
yre,2308,csqm,1845,2046
dmy,2159,gvla,182,2979
egq,1874,mmji,232,3974
kri,1453,yvkc,738,471
brd,817,uluf,157,751
zfa,451,wijw,1552,3081
kby,635,liey,39,4965
hws,2109,kqoo,116,2969
wse,2483,lblp,2938,3668
phz,1765,uamu,707,4176
vfu,980,zrzl,154,4846
clj,382,xdhe,658,523
ypq,1992,tnog,2739,81
cme,85,purw,3007,4322
jsa,1118,pbzq,2872,249
kqp,1438,fbym,1040,722
itx,1739,agja,2084,4387
xyd,2193,ylhi,1963,4442
jcw,293,xeab,2817,4116
fok,745,zlti,1509,2288
qcu,795,znrn,2459,2236
nkv,2102,lcmz,2999,2358
wwm,406,nytg,1787,3438
ltd,731,ahik,2168,3349
osp,671,axqg,1206,59
jyv,519,ddmz,1292,1168
pkq,315,blum,2314,2349
acl,2472,mfgw,1773,4489
maw,566,tqzg,1421,2852
fbu,61,ayun,749,2508
zfh,1934,ywar,774,2109
pal,2152,kfhb,2264,1312
cux,1770,pjqs,2887,420
vjw,403,hjcj,2358,1142
cmj,1712,brlb,3319,16
bmz,1019,psbh,1947,4331
ell,1536,qdtf,851,4085
tjk,1717,waub,524,16
dhl,72,tail,2289,4064
krd,2497,myks,1730,136
eip,1384,dkya,3052,4959
zff,1948,cqhf,964,3727
dtr,2382,ozpo,2198,3235
qjo,391,ymiy,2112,4386
vbp,482,ltyk,1176,665
hnm,781,yttp,416,4063
zss,742,tuyk,3302,897
fsg,511,btid,1149,2907
coe,1376,gjjv,3021,4508
zyd,2338,cquu,1085,3678
fda,1924,nldv,2600,4363
ywk,1770,erbj,705,2967
eqa,624,rjsw,1599,1105
rhu,117,hkkb,342,2254
afb,1305,xggm,2394,2741
fgd,1349,knhh,2363,2917
qdk,1100,ymgb,2313,390
nyi,988,iooy,3048,2750
dvj,2453,fyrk,1363,675
lvw,1256,uihj,745,4950
nvf,1718,ewbc,2384,3727
bzc,693,mijq,2455,2302
vzx,2101,krco,2171,1047
qte,2350,kvcx,603,70
fqg,746,gwnh,2057,1259
mls,138,hjvy,3153,2026
amd,142,fpty,2154,599
dzw,287,ktcq,2870,3763
gba,589,efpq,2384,3940
dfo,1908,rlxi,359,3555
ikb,2101,cnni,2938,1592
lma,1477,qpqy,2311,3951
ctn,2081,prbc,1233,4830
ake,1246,uaqo,309,3368
suc,943,eqzg,2043,4012
tzc,386,ccwf,835,242
yve,1338,gwqa,911,1298
vng,1594,ythv,1914,3406
lua,1724,qlts,299,4578
owp,958,ziys,2026,1296
nnq,389,bcxu,3101,1371
kvt,584,jafq,333,3716
lge,1064,qpys,1514,3111
grf,1668,yael,3260,2708
lpt,657,mhta,1722,36
tol,768,lhvm,541,1697
xsh,2431,sxah,1829,1155
wty,1129,xozj,968,43
bvb,2444,cecp,1053,1773
mwt,1817,tpxk,1662,15
pxo,1350,ianh,1311,1015
min,1735,xkyq,130,3300
zhy,782,wsss,135,1677
ute,1627,iqtn,1646,3616
xfu,599,cnwb,1239,3848
ncw,145,eddz,2812,1202
imf,993,zhrm,43,4934
fyp,192,drcq,180,329
ymp,1211,ocwm,2116,3176
bqy,31,gtcw,175,2970
omr,113,xiyh,2285,4805
qun,1822,lmui,680,987
uhl,2207,tudq,924,2599
xrt,1850,dpcn,1006,2924
fdp,619,ivqp,1431,4922
gcx,1960,frot,2536,3316
jrt,852,elba,529,4234
vvn,1720,ulwy,2801,2318
nqw,1546,slkh,1182,284
wiw,345,yihi,2895,3581
elk,123,lvqb,3225,4887
ihf,885,hgts,733,920
qqe,1419,berj,889,1025
fpw,2105,ntxz,1573,2679
nuz,1742,mzpn,2419,3792
diq,92,xlkh,1040,3578
lps,1896,ffrz,864,2011
hfz,527,nldv,3243,3515
foy,659,lyue,1353,73
ruj,1106,ocvv,2028,4123
whb,1227,rsmc,3160,1618
wec,1742,iqlu,2094,1996
doo,1349,xjpv,2961,3898
pul,2388,cwuv,2800,517
cvf,655,yfqw,754,590
fxu,1795,cyfd,1617,4424
zml,962,midl,1211,4109
nqe,296,uwsy,1000,2524
szs,2476,zqey,3188,4562
kbz,584,qoev,389,660
rbb,152,yqzu,2886,2451
hcc,845,gbrt,2615,963
ekj,444,qjea,994,3305
gbx,2059,wmfe,2205,2404
iht,1795,whjw,378,348
abz,2414,qjgu,2089,3440
frs,2413,xqzg,364,1145
avz,163,bjij,1769,4286
ylw,1342,gzjx,2515,520
asm,1535,vkto,1145,3122
mcv,1525,lnkw,1853,1216
dzt,457,uhjp,730,26
ruj,801,mjhb,9,3392
rfb,1485,xajf,1753,3914
orl,788,hxzq,1161,4658
oke,206,nris,956,4294
dno,1665,fwdg,106,4808
hmp,1557,tlsw,2893,4044
pda,2490,aafe,3202,737
eyz,1627,qjph,2650,866
kjs,2248,jybe,1823,2628
jrt,187,putp,835,2516
ijh,1947,gegk,2625,1104
otq,1271,llcs,1470,4922
tvc,571,jliq,1109,1749
xpa,284,uuya,372,3836
xye,28,qvfx,466,184
umr,2312,wcwc,1647,1405
rjf,1662,brya,2905,2961
ylc,644,xome,3225,1973
lmy,1212,xdyg,2664,2905
fuc,1621,jhjo,82,2200
fgp,2417,ihga,1041,3571
jqr,2369,frjq,3176,755
nzl,2408,ybqz,1002,1107
kjp,2072,yiuf,2084,4667
qeh,260,uihj,2597,1476
sjf,397,gipj,1474,3361
rol,126,lnzo,2352,347
pgb,2235,xgoy,339,4583
cbw,2116,lvbh,162,3499
aui,188,ftlz,1589,4858
ahq,158,uwsy,1532,4381
vxo,1785,txdw,2651,4946
pzr,1610,mhol,1527,1531
wzc,1153,wovj,2485,3804
yud,2485,nzrn,1689,3966
mnt,1213,qmnt,1880,4501
gtc,2160,cnwb,108,1730
lei,796,pphc,3264,656
smd,952,cgaz,1476,3770
zuh,1695,rnfr,1652,1837
qtv,1812,cxvq,1344,4931
jpk,1387,deug,1656,3396
tcx,2300,mqgo,2329,4536
spg,1245,ltyk,1655,2902
psv,130,boam,2075,3548
lef,1765,fguj,958,2324
mmi,2255,kemt,342,1155
scr,2107,heyp,2688,572
qih,379,dpvb,3197,2227
uvp,612,wbvx,2097,2333
dnm,2437,jipw,2469,1434
krc,43,lzld,2209,1718
zvb,385,bygh,1636,2823
mua,1462,gldf,101,1650
wdh,1909,ykew,732,4696
fey,1946,pegm,1977,1602
ulj,566,kwlg,1353,1524
htu,790,yppb,1582,2422
xvt,1490,qxln,2149,4669
bna,1916,ehqe,1561,1145
koj,2081,sfer,622,2116
lai,293,qmcm,46,1087
you,1598,txfq,1885,2765
dys,638,uicw,1631,817
qog,586,eiau,1818,135
jns,2426,qyxp,794,4288
uka,150,akza,1542,2409
yvh,1854,bcmp,1011,1229
jxg,1721,qosq,1201,3002
pqp,1826,pvym,1697,3790
cjl,1088,mrjo,2257,1757
tak,2437,qrrb,574,3854
pwg,649,gzaf,171,2595
uvo,2491,rguc,1200,4295
bnq,2032,nlib,856,676
oju,41,cstl,1637,4893
zza,2361,iajr,1323,1445
gtb,2116,geqp,2091,4201
dxi,2238,bnts,1606,397
iur,2121,cdun,2490,140
aly,161,uxoi,431,2214
nhh,1917,uput,413,1161
lve,1271,txul,919,1670
lwd,1973,rjnq,2765,3311
plb,2449,wcwm,1406,4476
zep,89,yvnu,1825,3199
emo,1705,aimk,1582,1379
oqm,1340,jesa,2504,3470
juk,708,ovgg,453,1361
gjv,2206,sptm,2034,3942
dah,2251,wivp,1427,3057
sfv,1273,cbae,1804,1369
zyn,1144,lhkp,432,2999
noa,1927,bbbd,833,3592
neb,1581,fnyq,1129,4781
tax,1814,oqzb,474,897
qkt,1219,dnld,2465,4
bry,149,kwch,1058,3306
udc,288,ciuf,2492,1210
nbf,282,heju,553,1546
isi,714,vysh,3249,1750
nmb,1747,rytx,1647,4596
fdf,468,jeuc,3264,1504
qni,2433,grsx,1423,429
gfu,1422,mssq,1213,2565
lml,2097,ueab,2183,536
bfg,1100,zuvg,2891,2922
eau,636,qcaa,118,1466
lkn,481,ppnt,1910,4556
fle,1348,yyll,2502,2014
abp,986,wjbd,1560,4640
jja,1690,bdkh,1779,98
tei,1466,fbte,232,1756
hdl,176,dhog,2620,4454
kvt,1539,hyfn,1977,1417
gzw,853,siew,357,625
lyn,2290,iejj,113,3750
roy,1116,qdgb,2806,1994
fuw,2014,rasi,1895,1846
qfb,718,jdlb,18,2309
iam,585,itro,375,577
kkl,685,baie,380,1052
num,142,uvue,391,769
okx,1964,jqme,1991,1956
zgp,764,rriw,2847,3302
krr,222,oyni,1746,4082
uqy,780,xkbf,612,3767
pvw,95,dpkp,3332,2425
mkj,1382,yqkk,2945,3792
vbk,1241,lbvo,1813,2988
bhj,391,cghm,638,921
inl,1646,wrcr,2672,4981
eeq,1817,anfo,2181,3683
ckf,2273,xjdo,1288,992
qjo,207,nywr,441,3882
dbt,1603,uajn,810,3915
lcn,920,kccg,1763,1225
pmh,572,elcr,1887,3825
lyw,2384,qxal,1540,2643
mak,1984,oyni,1957,1678
lad,2351,pssd,3151,4785
gpq,715,fkvk,2151,819
ksy,1039,tyvt,1885,1277
eam,254,evmg,586,3688
rvu,2434,cqey,2466,4091
cxk,341,nyoi,1343,1596
csj,1973,fixg,277,1614
fdf,2491,eyya,2392,452
dgg,2428,wxpy,3279,1676
mwm,1902,qgyp,1458,3394
jpp,632,jgmp,2382,4885
hda,1062,sfyi,3231,619
ctl,333,qray,845,2505
zdm,1509,hwsd,1075,598
suk,749,gfjt,246,642
pxf,1504,jzka,1378,4784
vxj,291,cujx,1399,3331
fvo,408,toim,957,3364
dem,2065,vilb,839,4260
uty,1068,sola,2731,3661
int,571,vtze,2083,4678
ggr,2092,lxdi,193,156
yhh,1784,wrdw,1767,4511
vse,2362,ltyk,560,3950
ifc,1984,uqou,1011,2087
cpd,617,zxdw,2974,4061
snt,239,lvpb,429,572
tti,1262,knxd,2724,1424
nrt,2275,qmdi,2429,627
net,1338,uawd,263,3712
nvw,1749,orkw,2897,176
gqe,1848,ilyg,2678,1697
omr,260,savq,1584,2363
plj,2170,hhqq,1242,238
fob,2163,pjqs,1846,2435
mjy,1926,xhnn,2095,3834
ofs,1492,uhyo,3316,3763
ujr,1,nwid,1704,4428
qth,2468,ipuw,93,2520
mnc,2276,eaol,1578,3685
biv,1668,bcjv,2903,3227
lxo,418,fdjc,975,2863
qpa,1126,yefd,605,662
ilu,1646,lfcu,2959,1589
yeb,204,svbb,230,394
bfb,444,xygl,3191,4854
fvg,1462,atkv,2134,3470
dsy,1087,kgjh,2143,304
mkk,1186,uxkq,3156,1282
axn,1717,wjql,418,277
faw,2397,dplw,3028,3508
ctk,1736,wnoi,2112,4474
yjb,1226,avrl,1134,1130
nxy,1863,utqx,1686,2182
koq,573,okxn,2706,2687
cux,198,yoqs,2262,1499
cbf,114,zdfp,673,4549
siu,916,blkv,461,2640
tpv,1207,okhg,2451,1956
qkg,556,izzv,148,4982
xga,1253,ofna,1515,2980
euu,991,ovwl,2599,580
hhh,2178,lcqo,1662,541
xbj,198,inup,318,3993
dkj,894,btsd,1267,3025
ysg,934,puoq,729,4696
fme,1880,zwwu,5,4851
knd,294,emel,6,679
qma,2181,aebj,2116,4173
nbf,1043,ohob,2430,3478
czh,517,aapi,1936,625
ckh,277,znue,1005,3903
eof,2340,alkq,2698,179
dly,814,eaub,270,1645
ubu,266,atjb,1194,4008
xev,1947,nccm,639,3204
iit,650,zydd,1554,4146
ywg,2409,sbcg,1448,4247
zed,1126,ixvz,2998,1335
gru,1984,hiba,3283,4079
hcu,1040,ncvc,1938,3131
fab,385,tlqw,1162,2268
pql,234,kkdl,189,3285
xxl,297,dajv,3055,3161
ext,661,lyqp,2248,4272
sar,1592,nbws,1066,3950
fkr,1460,ybap,2268,2838
wdj,550,jysh,2966,4205
obm,1980,bydh,2363,2742
prf,2008,yblg,2197,186
bbl,195,ggnq,3166,4052
ssm,1512,rwzz,518,3646
rtt,2128,mdoi,1190,3084
ykp,1624,nyvq,60,3184
eyk,252,hgct,1611,4767
ucv,1540,hrtb,484,4225
doj,624,sxuq,2742,102
nnv,341,bpco,1350,3015
xdt,2268,dxbr,1252,1440
zci,2058,zthy,867,2217
mla,1710,pwmx,2119,4441
kzr,218,lvkn,2499,744
pfv,710,kniy,229,4802
acd,1129,zwfi,3102,4290
kdc,1072,pimm,88,1116
mfv,2066,kaon,19,3162
evg,2297,rnzf,2865,1541
pgb,1587,ycvr,1561,2197
qvx,1467,xbaz,719,3703
eyz,834,lrpu,2335,4642
pft,2102,pcrq,2235,4805
ukr,125,vmsp,163,3292
zvb,41,xywj,2375,1540
upl,706,aydo,3080,1248
plb,1555,ojra,1569,4189
dlq,1512,qtku,608,1139
ifc,73,dpip,454,1782
iqh,1040,bxwa,62,2727
xdn,518,hgyw,511,4357
lnq,959,crtg,1831,1840
dmy,1134,flve,1097,3872
xhh,2401,whoo,395,2385
zrl,2443,vmyt,729,4826
kfj,1923,uzrf,2493,1012
fkp,549,dgrr,406,3805
liv,2360,zzpk,1956,2834
guk,519,juke,2258,640
pci,850,xurh,1168,1618
zyd,2384,lfha,605,3284
ern,917,ppes,2187,977
oze,1977,ulaq,3074,4178
kto,198,gerv,568,1052
cgk,885,klho,2557,4926
ndh,350,goxo,639,3559
qzv,552,ckmt,1218,2327
cxf,1845,ecaj,1281,1197
phi,637,cqyn,2227,3711
mzz,1604,kkxx,2887,213
ydp,510,ikza,1399,147
isn,1305,qbcp,3107,1550
dvn,2295,nkpa,151,4434
bum,1489,vhoz,1647,951
uuj,2220,mgon,1827,1760
dlq,76,lmju,2489,1259
fya,1819,jjjz,2048,2233
sau,1137,zosn,2796,2596
vmz,228,uovh,3091,955
zvb,2212,ebce,800,4912
vwu,353,yobd,2053,1328
azw,1722,hzsv,115,3741
drd,1182,uofk,3073,2632
cme,1067,viyv,770,4084
rpr,1535,jlfv,3153,2298
hkn,1134,ziyz,3309,4651
kto,749,qglo,1098,879
zsl,671,tjir,1240,3439
kcu,2312,vije,399,295
lby,24,vgyc,1333,1691
pzg,1833,uihj,2054,513
kxg,1195,cxsd,211,4403
bfw,687,yasv,1515,3155
otl,837,cbwe,1755,3307
bkt,1563,iklo,49,3848
hof,1541,imba,2770,48
dfz,1016,ampo,41,3671
qcw,1665,jywn,3254,4679
ekj,1511,oute,1554,2421
bhq,2118,dkam,1534,2018
bik,2291,ygii,1654,496
oba,1405,fnkt,2613,3016
nqq,362,xpws,994,3470
dlb,101,ihmb,2566,1559
dus,1707,yuwj,2645,2238
epk,1193,rhml,769,4606
xoy,479,bngc,3255,1476
nkf,1063,wccn,9,85
nrv,977,zhwk,1612,2380
hew,1139,sgnh,1898,1313
ilj,1214,qguu,1355,1408
wzc,1655,qjog,1408,4948
jwj,38,rzdw,1630,920
wal,100,tlbl,901,4053
azk,2026,rqeq,1275,4271
wai,1181,sdqn,542,1840
ane,1884,wlsh,1672,3196
gho,1525,xiyh,1729,545
ikd,903,jnng,2461,4262
xrl,2431,gjdr,2677,1255
lkp,42,fxez,1300,4862
sho,2223,xrdg,1561,2965
rag,2044,ynsd,2528,181
rju,1302,noxr,1859,2695
huk,2410,pmmr,747,1141
obn,2084,emcs,135,2571
cbl,2296,expm,1324,2544
ghc,351,qfme,2254,4082
sep,2142,vxpz,1824,372
wpb,2120,xnmd,3078,1816
xjy,1250,cksw,2080,167
fth,2049,yigz,2876,3607
mqp,962,yyll,2413,2735
kjv,2400,ergn,2486,2728
afh,2395,oaxu,1703,3792
phk,1029,kehy,2341,3512
ifd,1341,wito,516,2434
nmw,311,botv,695,1791
wse,768,zshy,131,811
yme,1586,klaq,679,3616
neo,591,iilj,985,4251
lfd,833,eyuc,1597,3260
bst,1170,ttrd,1328,4250
uvi,776,gisn,2985,2978
bpo,737,fqrl,1771,397
hsr,1765,eyht,996,3561
ffy,542,jjfl,3321,1330
dhd,1840,ydnt,2752,2104
tar,2100,ebvy,2876,4947
rgh,833,btid,13,4942
fpv,653,xnlp,385,3889
dit,739,meca,51,4637
wif,386,ybpu,2832,2542
poc,1232,txcq,309,4320
jsa,1813,idit,1329,1733
wim,153,lcpj,1649,1639
lqa,31,rgud,1244,1125
hlf,491,zawh,599,3266
naq,149,frur,2528,3309
hzr,523,owsh,1333,3832
xnc,1648,fcxw,3302,3765
dko,308,zvup,1042,1471
vas,380,rten,2454,4633
ovf,2375,vyoh,2503,3170
qqe,1554,dffh,1400,2987
ixc,1181,gxea,2370,3064
mjn,2494,vfxe,2189,3953
jtm,1275,vcsb,890,1263
zww,384,hrqg,861,2004
aeq,1630,xsdx,2993,4821
amo,143,cqgf,2414,4398
yjd,422,noha,309,3538
xkq,2259,fuqn,2582,4003
xyl,1336,zoxx,3322,2490
gth,718,udbw,1544,1752
hlk,2352,fpwh,1328,1169
uls,659,kdzn,887,1428
bku,2203,aeja,2241,1669
bkh,672,csqm,1679,4553
iqk,660,foxc,1062,3219
ecy,1556,bynq,464,1480
upl,795,mufk,969,4234
dwh,2269,ggmw,624,3753
kus,196,qhjq,1378,315
mwt,2277,wtej,2198,4349
uqg,929,lvqb,1402,2512
mqy,1091,fagu,1447,4603
yrb,240,tafr,1717,2715
deg,2448,qufa,2682,2156
vsy,1289,exbb,2966,4608
eys,1180,fuyz,2668,3952
chd,607,fkil,2989,3229
tpr,1486,akqc,3194,182
vpx,1194,fkie,2471,403
nti,483,asgb,1258,3580
fdk,239,tovk,2968,2146
gkj,754,zuwl,1040,1762
okx,1554,zvfc,1711,1100
vud,1461,gwcd,1993,269
snt,194,alkq,131,940
jwj,1104,nfbg,446,3185
kar,1703,lpzh,3263,2153
dde,436,zwnv,1724,2790
ifb,800,rubc,791,1232
vcy,2045,wqor,1254,3393
ibx,562,knxd,1483,4880
bsj,2428,wqfz,1344,3963
iie,1736,tntg,2858,493
fbk,2076,lsmx,1921,4689
nlb,1652,sbvh,1173,2863
ovu,989,ggye,2117,1980
kya,1467,qeug,1699,1478
dum,1834,pewp,1831,3383
sfc,557,snsx,2252,852
nig,2026,wijw,1001,751
acz,2313,omvv,1976,829
jtu,1068,yuwq,826,1797
lwt,2089,bftn,1758,3708
krc,491,imwc,3067,4270
qpt,465,cock,2330,64
ytb,899,ugyf,355,1872
gyg,1109,kqld,1053,4812
szt,884,tzeu,756,1044
lve,454,zlqf,829,2988
nty,1696,clnn,1936,2185
pwn,1483,scnt,2808,4020
coq,2192,wsss,1147,3503
obm,1479,vvnm,2437,4981
ofu,1408,pnqi,913,4014
mgn,50,awiz,101,4001
raj,446,jcwf,1404,1234
oqg,1823,cfre,2642,730
tot,1352,gscs,2554,4667
txy,726,odjb,266,3058
hnk,392,fhwo,1463,4475
nxd,850,zugg,2584,217
nre,2284,aktq,2501,3005
lxm,1659,skpr,2005,3424
nka,101,qugb,653,1051
ogu,861,xwht,1138,4022
clc,439,yumr,2397,284
fpv,1942,qkep,168,3211
bij,302,aevk,643,3972
uyz,330,tjkz,1893,3662
hkl,925,jtee,1262,296
cgm,2235,gwjn,192,64
xzn,1625,xyuw,2814,4881
hgs,1866,hhle,2925,4837
mle,1164,bldg,1342,2380
eyi,518,zqlm,1390,4630
vtv,1986,fpky,2768,544
boe,1797,gxwe,61,2332
lcn,2043,kack,2342,4882
imy,1857,txwx,1507,4984
tst,1122,slpx,2999,2610
wrv,334,ptdt,1294,2880
gry,344,gkvb,333,3395
ozy,375,lhmu,1053,3633
pbo,2253,slpp,1176,2550
eok,2058,nhix,1112,698
hmy,2113,usgb,1820,4642
thb,2351,woyb,1607,2220
erg,2232,uhyo,699,1869
oog,2027,nqju,1449,839
kol,1405,xldg,3036,747
lmf,2218,jepi,508,2639
whb,1644,jlam,3330,2773
syi,1043,enjg,1901,1894
msn,1819,vbyo,1721,4734
guk,1025,amcq,173,1475
wgw,1216,dxwt,3105,2739
tbw,1551,viqp,2160,268
hld,727,eezv,2550,3394
otu,1440,iqrk,1713,3026
ffu,1526,viqp,1810,2709
thi,615,nrry,2588,848
caf,663,ndrz,1355,4219
kfh,2230,widm,2197,195
fmr,790,uuoz,1793,572
mrs,2316,egfm,2088,4372
iya,2324,bqkd,775,408
doo,1631,wfuf,2626,3393
ela,1940,fogs,207,3441
obx,1062,najy,957,386
yyz,1983,njuf,98,2465
ijy,1112,horc,2459,3963
cjc,1574,wgjw,359,196
byb,843,ttuk,2773,2403
dyb,1500,caad,289,4104
viw,1744,csun,2850,2226
snf,1643,pkwl,789,3870
bfb,1858,rxnz,2855,752
mdo,1479,mqzs,1237,4581
ggo,894,gsdf,3119,2132
bfw,1854,hzbn,3076,3463
cyf,0,dora,3311,4853
gec,1603,sqmn,558,2555
tqt,1290,kvyc,117,2398
atf,926,szqn,1929,695
vda,1236,mqne,993,4017
xwr,1608,hhja,752,4472
fvg,828,mpes,2251,1666
pix,1257,kxzr,1009,4440
eys,1375,wvls,2997,753
ewe,1658,ikjd,2143,3900
wsk,42,kcfq,2985,3004
kmv,1036,pevx,341,118
cpv,961,xmyq,3226,4591
rab,1911,qxbl,103,259
gjq,2097,pgbg,1441,640
vtg,1900,nnsk,3105,4511
vun,2075,jfub,2408,2659
qnd,505,wjxw,1978,4547
qud,1850,llzo,188,4216
bpb,529,ikbi,939,1273
cik,586,qnqj,1993,758
pdr,435,nakx,337,631
cdq,321,wanh,3219,4928
otp,1798,fmwe,1261,2136
nxn,1959,kibf,2025,4930
cev,918,sekg,400,4752
fmd,386,vcxw,2633,1354
vpk,707,ljjh,2793,3768
knj,1260,huxi,895,3589
zer,1335,imba,1459,986
roa,1460,ssgo,688,51
zzz,66,lvob,895,3877
qzs,2292,tcgf,3254,1234
sno,311,pewp,2766,1084
tyd,2376,qizk,416,2206
zsn,151,ycvx,592,4268
idg,1529,jdbw,368,1711
yvv,144,urtb,121,3829
fzs,1259,stzu,1492,4871
oqt,624,hrov,1804,1013
